"town","townID","totpixels","openwater","devopen","devlow","devmed","devhigh","barrenrock","decidforest","evergrnfor","mixedforest","shrubscrub","grassherb","pasturehay","cultcrop","woodywet","emergherbwet","RPopenwater","RPdevopen","RPdevlow","RPdevmed","RPdevhigh","RPbarrenrock","RPdecidforest","RPevergrnfor","RPmixedforest","RPshrubscrub","RPgrassherb","RPpasturehay","RPcultcrop","RPwoodywet","RPemergherbwet","Cforest","Clowdev","Chighdev","Cgrass","CPforest","CPshrubscrub","CPlowdev","CPhighdev","CPgrass","CPemherbwet","CPwoodywet","CPopenwater","nmds2011.1","nmds2011.2"
"MERRIMAC",180,25616,986,1909,2662,1837,144,103,7310,1553,3804,32,262,1678,459,2699,178,0.038491568,0.074523735,0.103919425,0.071712992,0.005621487,0.004020924,0.28536852,0.060626171,0.148500937,0.001249219,0.010227983,0.065505934,0.017918488,0.105363835,0.006948782,12667,4571,1981,1940,0.494495628,0.001249219,0.178443161,0.077334478,0.075733916,0.006948782,0.105363835,0.038491568,-0.050954196,-0.028641813
"ASHFIELD",13,115823,564,4582,1125,148,2,144,33305,6548,52327,189,859,9208,338,6005,479,0.004869499,0.039560364,0.009713097,0.001277812,1.73e-05,0.001243276,0.287550832,0.05653454,0.451784188,0.0016318,0.007416489,0.079500617,0.002918246,0.051846352,0.004135621,92180,5707,150,10067,0.79586956,0.0016318,0.04927346,0.00129508,0.086917106,0.004135621,0.051846352,0.004869499,-0.167078923,-0.349012103
"PLAINFIELD",237,61425,678,2419,608,42,0,12,15465,2022,30750,137,1193,3425,778,3847,49,0.011037851,0.039381359,0.00989825,0.000683761,0,0.00019536,0.251770452,0.032918193,0.500610501,0.002230362,0.019422059,0.055759056,0.012665853,0.062629223,0.000797721,48237,3027,42,4618,0.785299145,0.002230362,0.049279609,0.000683761,0.075181115,0.000797721,0.062629223,0.011037851,-0.174923669,-0.333444781
"WARWICK",312,108338,1083,3175,426,43,0,18,11235,36421,47869,444,188,2061,0,5050,325,0.009996492,0.02930643,0.003932138,0.000396906,0,0.000166147,0.103703225,0.336179365,0.441848659,0.004098285,0.00173531,0.019023796,0,0.046613377,0.002999871,95525,3601,43,2249,0.881731249,0.004098285,0.033238568,0.000396906,0.020759106,0.002999871,0.046613377,0.009996492,-0.206273832,-0.424879657
"MONTEREY",193,78870,2880,4073,295,56,6,44,31334,2966,28102,351,531,1785,7,6234,206,0.036515785,0.051641942,0.003740332,0.000710029,7.61e-05,0.00055788,0.397286674,0.037606187,0.356307848,0.004450361,0.006732598,0.02263218,8.88e-05,0.079041461,0.002611893,62402,4368,62,2316,0.79120071,0.004450361,0.055382275,0.000786104,0.029364777,0.002611893,0.079041461,0.036515785,-0.194786474,-0.3262722
"ACUSHNET",3,54334,711,4116,4676,3192,301,1070,1901,8340,12957,100,1855,1953,1558,11273,331,0.013085729,0.075753672,0.086060294,0.058747745,0.005539809,0.01969301,0.034987301,0.153495049,0.238469467,0.001840468,0.034140685,0.035944344,0.028674495,0.207475982,0.00609195,23198,8792,3493,3808,0.426951817,0.001840468,0.161813965,0.064287555,0.07008503,0.00609195,0.207475982,0.013085729,-0.11593938,0.066948391
"NEW BRAINTREE",202,60192,295,2859,690,72,10,139,22100,5048,10151,377,1122,9207,421,6747,954,0.004900984,0.047498006,0.011463317,0.001196172,0.000166135,0.002309277,0.367158426,0.083864965,0.168643674,0.006263291,0.018640351,0.152960526,0.006994285,0.112091308,0.015849282,37299,3549,82,10329,0.619667065,0.006263291,0.058961324,0.001362307,0.171600877,0.015849282,0.112091308,0.004900984,-0.233591571,-0.147125572
"ATHOL",15,96008,2270,5145,4751,2216,520,240,16331,23499,28570,383,1518,1871,5,7888,801,0.023643863,0.053589284,0.04948546,0.02308141,0.005416215,0.002499792,0.170100408,0.244760853,0.297579368,0.003989251,0.015811182,0.019487959,5.21e-05,0.08215982,0.008343055,68400,9896,2736,3389,0.71244063,0.003989251,0.103074744,0.028497625,0.035299142,0.008343055,0.08215982,0.023643863,-0.138208159,-0.246781278
"GREENFIELD",114,62947,812,4854,7997,6382,1515,252,12242,10722,4178,340,831,6761,1321,4606,134,0.012899741,0.077112491,0.127043386,0.101386881,0.024067867,0.004003368,0.194481071,0.170333773,0.066373298,0.005401369,0.013201582,0.107407819,0.020985909,0.073172669,0.002128775,27142,12851,7897,7592,0.431188142,0.005401369,0.204155877,0.125454748,0.120609402,0.002128775,0.073172669,0.012899741,0.029181019,0.012902112
"NORTHBOROUGH",215,53941,365,7227,7703,6548,1176,140,12233,1652,6427,208,938,954,87,7819,464,0.006766652,0.133979719,0.142804175,0.121391891,0.021801598,0.002595428,0.22678482,0.030626054,0.1191487,0.003856065,0.01738937,0.01768599,0.001612873,0.144954673,0.008601991,20312,14930,7724,1892,0.376559574,0.003856065,0.276783894,0.143193489,0.03507536,0.008601991,0.144954673,0.006766652,0.013124195,0.132469429
"CHELMSFORD",56,66454,1549,12258,15560,14719,3004,172,5943,2003,3392,24,287,583,10,6380,570,0.023309357,0.184458422,0.234146929,0.221491558,0.045204201,0.002588257,0.089430283,0.03014115,0.051042827,0.000361152,0.004318777,0.008772986,0.00015048,0.09600626,0.008577362,11338,27818,17723,870,0.170614259,0.000361152,0.418605351,0.266695759,0.013091763,0.008577362,0.09600626,0.023309357,0.163506696,0.373376228
"ARLINGTON",10,15793,932,1056,3387,7791,2152,48,247,50,41,0,54,8,3,18,6,0.059013487,0.066865067,0.214462103,0.493319825,0.136262901,0.003039321,0.01563984,0.00316596,0.002596087,0,0.003419236,0.000506554,0.000189958,0.001139745,0.000379915,338,4443,9943,62,0.021401887,0,0.28132717,0.629582727,0.00392579,0.000379915,0.001139745,0.059013487,0.568530991,0.392300809
"NEWTON",207,52255,736,11241,16751,14530,3751,95,2293,227,663,63,86,118,16,1577,108,0.014084777,0.215118171,0.320562626,0.278059516,0.071782605,0.001818008,0.043880968,0.004344082,0.012687781,0.001205626,0.001645776,0.002258157,0.000306191,0.03017893,0.002066788,3183,27992,18281,204,0.060912831,0.001205626,0.535680796,0.34984212,0.003903933,0.002066788,0.03017893,0.014084777,0.244603443,0.542220045
"NORTH READING",213,38807,776,6759,7733,5540,1141,65,2906,2465,3385,21,105,188,2,7472,249,0.019996392,0.174169609,0.199268173,0.14275775,0.029401912,0.001674956,0.074883397,0.063519468,0.087226531,0.000541139,0.002705697,0.004844487,5.15e-05,0.192542583,0.006416368,8756,14492,6681,293,0.225629397,0.000541139,0.373437782,0.172159662,0.007550184,0.006416368,0.192542583,0.019996392,0.041271026,0.324260298
"GREAT BARRINGTON",113,131723,1742,7091,2811,1383,440,223,37691,10721,41486,474,665,9718,2371,14218,689,0.013224722,0.053832664,0.021340237,0.010499305,0.003340343,0.001692947,0.286138336,0.081390494,0.314948794,0.00359846,0.005048473,0.07377603,0.017999894,0.107938629,0.005230673,89898,9902,1823,10383,0.682477623,0.00359846,0.075172901,0.013839648,0.078824503,0.005230673,0.107938629,0.013224722,-0.165515358,-0.2180171
"PRINCETON",241,103106,1472,4416,1145,240,14,95,36868,8863,33484,504,1015,2759,0,11315,916,0.01427657,0.042829709,0.011105076,0.002327702,0.000135783,0.000921382,0.357573759,0.08596008,0.324753167,0.004888173,0.009844238,0.02675887,0,0.109741431,0.008884061,79215,5561,254,3774,0.768287006,0.004888173,0.053934786,0.002463484,0.036603107,0.008884061,0.109741431,0.01427657,-0.204977365,-0.295067928
"LEICESTER",151,70894,3968,6010,2805,1450,350,46,25273,1927,16472,338,1089,2979,14,7679,494,0.055970886,0.084774452,0.039566113,0.020453071,0.004936948,0.000648856,0.356489971,0.027181426,0.232346884,0.004767681,0.015360961,0.042020481,0.000197478,0.108316642,0.00696815,43672,8815,1800,4068,0.616018281,0.004767681,0.124340565,0.025390019,0.057381443,0.00696815,0.108316642,0.055970886,-0.119137126,-0.150207275
"MANSFIELD",167,58786,593,7756,9759,7976,2214,206,4966,3617,7853,84,350,774,168,12344,126,0.010087436,0.131936175,0.166008914,0.135678563,0.037662028,0.003504236,0.084475896,0.061528255,0.133586228,0.001428912,0.005953799,0.0131664,0.002857823,0.209981968,0.002143367,16436,17515,10190,1124,0.279590379,0.001428912,0.297945089,0.173340591,0.019120199,0.002143367,0.209981968,0.010087436,0.017425385,0.252654862
"CAMBRIDGE",49,20446,1977,859,2434,7570,6161,483,220,65,30,21,304,35,71,107,109,0.09669373,0.042013108,0.11904529,0.370243568,0.301330334,0.023623203,0.010760051,0.003179106,0.00146728,0.001027096,0.014868434,0.001711826,0.003472562,0.005233297,0.005331116,315,3293,13731,339,0.015406436,0.001027096,0.161058398,0.671573902,0.01658026,0.005331116,0.005233297,0.09669373,0.646696944,0.314309984
"COLRAIN",66,124804,258,4012,1313,253,9,89,35647,21032,48222,947,359,10481,312,1745,125,0.002067241,0.032146406,0.010520496,0.002027179,7.21e-05,0.000713118,0.285623858,0.16852024,0.386381847,0.007587898,0.00287651,0.08397968,0.00249992,0.013981924,0.00100157,104901,5325,262,10840,0.840525945,0.007587898,0.042666902,0.002099292,0.086856191,0.00100157,0.013981924,0.002067241,-0.153229007,-0.406924707
"WESTBOROUGH",328,61769,2440,6443,8060,8701,2935,153,14480,819,3582,188,626,1254,102,11219,767,0.039502016,0.104307986,0.130486166,0.14086354,0.047515744,0.002476971,0.234421797,0.013259078,0.057990254,0.003043598,0.010134534,0.020301446,0.001651314,0.181628325,0.012417232,18881,14503,11636,1880,0.30567113,0.003043598,0.234794152,0.188379284,0.030435979,0.012417232,0.181628325,0.039502016,0.034296884,0.193816942
"NEEDHAM",199,36594,694,5798,8243,6630,1783,5,2780,2114,2872,43,272,195,30,4860,275,0.018964858,0.158441275,0.225255506,0.181177242,0.048723835,0.000136634,0.075968738,0.057769033,0.078482811,0.001175056,0.007432912,0.005328742,0.000819807,0.132808657,0.007514893,7766,14041,8413,467,0.212220583,0.001175056,0.383696781,0.229901077,0.012761655,0.007514893,0.132808657,0.018964858,0.119044047,0.322518763
"WATERTOWN",314,11866,222,994,1214,5429,3554,32,95,34,147,0,56,32,14,27,16,0.018708916,0.083768751,0.102309118,0.457525704,0.299511208,0.002696781,0.008006068,0.00286533,0.012388336,0,0.004719366,0.002696781,0.001179842,0.002275409,0.00134839,276,2208,8983,88,0.023259734,0,0.18607787,0.757036912,0.007416147,0.00134839,0.002275409,0.018708916,0.706450322,0.330320769
"WALTHAM",308,39597,2731,3115,5815,14573,5973,56,4374,376,1154,15,238,146,6,976,49,0.068969871,0.078667576,0.14685456,0.368032932,0.150844761,0.001414249,0.110462914,0.009495669,0.029143622,0.000378817,0.006010556,0.003687148,0.000151527,0.024648332,0.001237467,5904,8930,20546,384,0.149102205,0.000378817,0.225522136,0.518877693,0.009697704,0.001237467,0.024648332,0.068969871,0.449319897,0.255585375
"HOLDEN",134,104530,3349,7504,7560,3963,571,593,25628,8208,30610,409,1231,3597,5,10643,659,0.032038649,0.071788003,0.072323735,0.037912561,0.005462547,0.005673013,0.245173634,0.078522912,0.292834593,0.003912752,0.011776523,0.034411174,4.78e-05,0.10181766,0.00630441,64446,15064,4534,4828,0.616531139,0.003912752,0.144111738,0.043375108,0.046187697,0.00630441,0.10181766,0.032038649,-0.100500204,-0.145782398
