"town","townID","totpixels","openwater","devopen","devlow","devmed","devhigh","barrenrock","decidforest","evergrnfor","mixedforest","shrubscrub","grassherb","pasturehay","cultcrop","woodywet","emergherbwet","RPopenwater","RPdevopen","RPdevlow","RPdevmed","RPdevhigh","RPbarrenrock","RPdecidforest","RPevergrnfor","RPmixedforest","RPshrubscrub","RPgrassherb","RPpasturehay","RPcultcrop","RPwoodywet","RPemergherbwet","Cforest","Clowdev","Chighdev","Cgrass","CPforest","CPshrubscrub","CPlowdev","CPhighdev","CPgrass","CPemherbwet","CPwoodywet","CPopenwater","nmds2011.1","nmds2011.2"
"BLACKSTONE",32,32895,643,2260,3244,2386,431,1084,13327,525,3449,224,529,1501,80,3157,55,0.019547044,0.06870345,0.098616811,0.07253382,0.013102295,0.032953336,0.405137559,0.015959872,0.104848761,0.006809546,0.016081471,0.045630035,0.002431981,0.095972032,0.001671987,17301,5504,2817,2030,0.525946192,0.006809546,0.167320261,0.085636115,0.061711506,0.001671987,0.095972032,0.019547044,-0.052438957,-0.059768248
"DOUGLAS",77,109074,3772,5050,2220,868,68,672,51504,4831,24602,420,1223,1568,14,12043,219,0.034582027,0.046298843,0.020353155,0.0079579,0.00062343,0.006160955,0.47219319,0.044291032,0.225553294,0.003850597,0.011212571,0.014375562,0.000128353,0.11041128,0.002007811,80937,7270,936,2791,0.742037516,0.003850597,0.066651998,0.00858133,0.025588133,0.002007811,0.11041128,0.034582027,-0.192341276,-0.268113518
"GRAFTON",110,67064,914,7619,7377,5609,895,63,22296,1469,7734,600,1161,2610,93,8033,591,0.013628773,0.113607897,0.109999404,0.083636526,0.013345461,0.000939401,0.332458547,0.021904449,0.115322677,0.008946678,0.017311822,0.038918048,0.001386735,0.119781105,0.008812478,31499,14996,6504,3771,0.469685673,0.008946678,0.2236073,0.096981987,0.05622987,0.008812478,0.119781105,0.013628773,-0.031239288,0.01678873
"AGAWAM",5,70041,2716,12127,12636,8404,1701,216,14855,405,2800,201,1155,2074,3285,7319,147,0.038777288,0.173141446,0.180408618,0.119986865,0.024285775,0.003083908,0.212090062,0.005782327,0.039976585,0.002869748,0.016490341,0.029611228,0.046901101,0.104495938,0.002098771,18060,24763,10105,3229,0.257848974,0.002869748,0.353550064,0.14427264,0.046101569,0.002098771,0.104495938,0.038777288,0.058491415,0.258540655
"WALES",306,46001,608,1892,410,47,2,84,30110,747,7089,71,173,923,51,3487,307,0.013217104,0.041129541,0.00891285,0.001021717,4.35e-05,0.001826047,0.654550988,0.016238777,0.154105346,0.001543445,0.003760788,0.020064781,0.001108672,0.0758027,0.006673768,37946,2302,49,1096,0.824895111,0.001543445,0.05004239,0.001065194,0.023825569,0.006673768,0.0758027,0.013217104,-0.205112614,-0.358445805
"LYNNFIELD",164,30053,1072,5538,6126,3803,533,37,2511,1884,2350,20,57,44,1,5471,606,0.035670316,0.184274448,0.203839883,0.126543107,0.017735334,0.001231158,0.083552391,0.062689249,0.078195189,0.000665491,0.001896649,0.00146408,3.33e-05,0.182045054,0.020164376,6745,11664,4336,101,0.224436828,0.000665491,0.388114331,0.144278441,0.003360729,0.020164376,0.182045054,0.035670316,0.024736064,0.330239041
"HOLLAND",135,37554,2178,3225,399,69,11,151,13445,2710,10555,116,493,517,169,3382,134,0.057996485,0.085876338,0.0106247,0.001837354,0.000292912,0.004020877,0.358017788,0.072162752,0.281061937,0.003088885,0.013127763,0.013766842,0.004500186,0.090056985,0.003568195,26710,3624,80,1010,0.711242477,0.003088885,0.096501039,0.002130266,0.026894605,0.003568195,0.090056985,0.057996485,-0.15432185,-0.247873999
"DOVER",78,44371,353,3995,2112,494,52,13,10330,5315,13997,101,713,1328,4,5434,130,0.007955647,0.090036285,0.047598657,0.011133398,0.001171937,0.000292984,0.232809718,0.119785445,0.315453787,0.002276262,0.016069054,0.029929458,9.01e-05,0.122467377,0.002929842,29642,6107,546,2041,0.668048951,0.002276262,0.137634942,0.012305335,0.045998513,0.002929842,0.122467377,0.007955647,-0.149629069,-0.186209996
"CANTON",50,56231,1725,9255,8808,8437,2703,79,4105,3270,5089,51,311,184,3,11932,279,0.030677029,0.164588928,0.156639576,0.150041792,0.04806957,0.001404919,0.073002436,0.058152976,0.090501681,0.000906973,0.005530757,0.003272216,5.34e-05,0.21219612,0.004961676,12464,18063,11140,495,0.221657093,0.000906973,0.321228504,0.198111362,0.008802973,0.004961676,0.21219612,0.030677029,0.053614826,0.3096303
"NORWOOD",220,30371,190,2894,4968,10410,4384,16,1712,88,313,3,129,18,8,4750,488,0.006255968,0.095288268,0.163577097,0.342761187,0.144348227,0.000526818,0.056369563,0.002897501,0.010305884,9.88e-05,0.004247473,0.000592671,0.000263409,0.156399197,0.01606796,2113,7862,14794,147,0.069572948,9.88e-05,0.258865365,0.487109414,0.004840144,0.01606796,0.156399197,0.006255968,0.402116904,0.37523095
"WESTWOOD",335,32178,457,6017,6361,4764,1173,18,4099,1170,4189,13,200,91,2,3442,182,0.01420225,0.186991112,0.197681646,0.148051464,0.036453478,0.000559388,0.12738517,0.036360246,0.130182112,0.000404003,0.006215427,0.002828019,6.22e-05,0.106967493,0.005656038,9458,12378,5937,291,0.293927528,0.000404003,0.384672758,0.184504941,0.009043446,0.005656038,0.106967493,0.01420225,0.077134013,0.256377957
"SHARON",266,70165,2386,8554,7739,4049,485,26,16174,5777,11479,93,761,446,418,11577,201,0.034005558,0.121912635,0.110297157,0.057706834,0.006912278,0.000370555,0.230513789,0.082334497,0.163600086,0.001325447,0.010845863,0.006356446,0.005957386,0.164996793,0.002864676,33430,16293,4534,1207,0.476448372,0.001325447,0.232209791,0.064619112,0.017202309,0.002864676,0.164996793,0.034005558,-0.073976961,0.03266001
"WALPOLE",307,60603,1194,9141,10765,7468,1566,277,4541,4662,8627,95,713,818,5,10465,266,0.019701995,0.150834117,0.17763147,0.123228223,0.025840305,0.004570731,0.074930284,0.076926885,0.142352689,0.001567579,0.011765094,0.013497682,8.25e-05,0.17268122,0.004389222,17830,19906,9034,1531,0.294209858,0.001567579,0.328465588,0.149068528,0.025262776,0.004389222,0.17268122,0.019701995,0.021578697,0.235704618
"MENDON",179,51748,443,2855,2454,1116,218,115,20854,2139,10841,338,921,2581,18,6567,288,0.008560717,0.055171214,0.047422123,0.021566051,0.004212723,0.002222308,0.40299142,0.041334931,0.209496019,0.006531653,0.017797789,0.049876324,0.00034784,0.126903455,0.005565432,33834,5309,1334,3502,0.65382237,0.006531653,0.102593337,0.025778774,0.067674113,0.005565432,0.126903455,0.008560717,-0.154895801,-0.178042614
"HUDSON",141,34149,608,4603,5771,7526,1902,163,4897,1421,2856,56,314,728,13,3038,253,0.017804328,0.134791648,0.1689947,0.220387127,0.055697092,0.0047732,0.143400978,0.04161176,0.083633489,0.001639872,0.009194998,0.02131834,0.000380685,0.088963074,0.007408709,9174,10374,9428,1042,0.268646227,0.001639872,0.303786348,0.276084219,0.030513339,0.007408709,0.088963074,0.017804328,0.164833301,0.223565628
"BERLIN",28,37905,412,1943,2048,1284,288,213,12241,2522,8226,232,1299,2585,62,4359,191,0.010869278,0.051259728,0.054029811,0.033874159,0.007597942,0.005619311,0.322938926,0.066534758,0.217016225,0.006120565,0.034269885,0.068196808,0.001635668,0.114998021,0.005038913,22989,3991,1572,3884,0.606489909,0.006120565,0.10528954,0.041472101,0.102466693,0.005038913,0.114998021,0.010869278,-0.130445116,-0.141067467
"SHIRLEY",270,45765,310,2548,3832,1847,515,478,11441,5826,10367,184,871,1058,79,6033,376,0.006773735,0.055675735,0.08373211,0.040358352,0.011253141,0.010444663,0.249994537,0.127302524,0.226526822,0.00402054,0.019032011,0.023118103,0.00172621,0.131825631,0.008215886,27634,6380,2362,1929,0.603823883,0.00402054,0.139407844,0.051611493,0.042150115,0.008215886,0.131825631,0.006773735,-0.116979385,-0.121026466
"GROTON",115,97218,2986,5366,5287,2052,275,450,20946,16596,18141,547,2994,6596,363,13178,1441,0.030714477,0.05519554,0.054382933,0.021107202,0.002828694,0.004628772,0.215453928,0.170709128,0.186601247,0.00562653,0.030796766,0.067847518,0.003733876,0.13555103,0.014822358,55683,10653,2327,9590,0.572764303,0.00562653,0.109578473,0.023935897,0.098644284,0.014822358,0.13555103,0.030714477,-0.141055766,-0.104829641
"BROOKLINE",46,19646,160,4774,5559,5318,1644,26,820,214,781,4,48,49,7,222,20,0.008144151,0.24300112,0.282958363,0.270691235,0.083681156,0.001323425,0.041738776,0.010892803,0.039753639,0.000203604,0.002443245,0.002494146,0.000356307,0.01130001,0.001018019,1815,10333,6962,97,0.092385218,0.000203604,0.525959483,0.354372391,0.004937392,0.001018019,0.01130001,0.008144151,0.24320669,0.519271048
"CHARLEMONT",53,76701,1152,2650,1265,349,6,97,23833,11855,28466,381,214,5372,267,712,82,0.015019361,0.034549745,0.016492614,0.004550136,7.82e-05,0.001264651,0.310726066,0.154561218,0.371129451,0.004967341,0.002790055,0.0700382,0.00348105,0.009282799,0.001069086,64154,3915,355,5586,0.836416735,0.004967341,0.051042359,0.004628362,0.072828255,0.001069086,0.009282799,0.015019361,-0.151361005,-0.40010342
"PALMER",227,92090,1362,5712,5451,2912,682,884,32218,8823,20466,407,1167,4445,47,7155,359,0.014789879,0.062026279,0.059192095,0.03162124,0.007405799,0.009599305,0.349853404,0.095808448,0.222239114,0.00441959,0.012672386,0.048267999,0.00051037,0.077695732,0.00389836,61507,11163,3594,5612,0.667900966,0.00441959,0.121218373,0.039027039,0.060940384,0.00389836,0.077695732,0.014789879,-0.113927787,-0.205526052
"BOXFORD",38,70234,1734,6031,2979,1406,87,49,13232,10674,17834,90,591,2652,55,12031,789,0.024688897,0.085870091,0.042415354,0.020018794,0.001238716,0.000697668,0.188398781,0.151977675,0.253922602,0.001281431,0.008414728,0.03775949,0.000783097,0.171298801,0.011233875,41740,9010,1493,3243,0.594299057,0.001281431,0.128285446,0.021257511,0.046174218,0.011233875,0.171298801,0.024688897,-0.162240763,-0.100020352
"WESTON",333,49877,1178,12514,5861,2675,785,59,5118,5655,9824,35,211,180,21,5663,98,0.023618101,0.250897207,0.117509072,0.053631935,0.015738717,0.00118291,0.102612427,0.113378912,0.196964533,0.000701726,0.004230407,0.003608878,0.000421036,0.113539307,0.001964833,20597,18375,3460,391,0.412955871,0.000701726,0.368406279,0.069370652,0.007839285,0.001964833,0.113539307,0.023618101,-0.042826146,0.161106165
"AMHERST",8,79881,308,9720,7180,4024,1108,138,16705,3746,11164,340,436,9150,1999,13367,496,0.003855735,0.121681,0.089883702,0.050374933,0.013870633,0.00172757,0.209123571,0.046894756,0.13975789,0.004256331,0.005458119,0.114545386,0.025024724,0.167336413,0.006209236,31615,16900,5132,9586,0.395776217,0.004256331,0.211564702,0.064245565,0.120003505,0.006209236,0.167336413,0.003855735,-0.083668532,0.09690883
"PEPPERELL",232,66738,1329,3798,4452,2275,332,450,13639,12747,11376,412,755,6474,435,7771,493,0.019913692,0.056909107,0.066708622,0.034088525,0.004974677,0.006742785,0.204366328,0.191000629,0.17045761,0.006173394,0.011312895,0.097006203,0.006518026,0.116440409,0.007387096,37762,8250,2607,7229,0.565824568,0.006173394,0.123617729,0.039063202,0.108319099,0.007387096,0.116440409,0.019913692,-0.116064,-0.102735798
"HOPEDALE",138,15391,145,2147,2451,2148,311,349,3828,340,2041,7,41,78,3,1356,146,0.00942109,0.139497109,0.159248912,0.139562082,0.020206614,0.02267559,0.248716783,0.022090832,0.132609967,0.000454811,0.002663894,0.005067897,0.000194919,0.088103437,0.009486063,6209,4598,2459,119,0.403417582,0.000454811,0.29874602,0.159768696,0.007731791,0.009486063,0.088103437,0.00942109,0.05778739,0.100963884
